mu sigma
2.302377448673609 5.466326398325287
4.19996594236793 5.0594498613062635
2.8849441785670464 3.5032241496367464
3.728613655231059 3.6852970663595888
4.012499526252932 3.8944336413643375
3.728384115517076 3.70628246309684
2.5562721732352363 5.3897455883596495
1.6913742352678687 4.239008607224766
1.6497757379816798 4.586984058327352
2.6290538800740277 3.576910241852151
2.9746996571850937 5.393630121887729
2.541413666070782 3.627424365936716
3.111785542167295 3.600839569861301
3.542071988203894 5.206516418525456
3.703081593091021 3.791726065277414
1.790567792063349 4.328468223854727
2.9258365464579015 5.295103656876586
4.068442553904891 4.172719796054042
2.9138786136639574 3.614916834225995
4.035321335998566 4.135123875325843
4.089374234946131 4.24760756718618
3.9443559778721293 4.911189701346433
4.050968922512277 4.746114327386101
3.833300480901466 3.9242386648433576
2.0931533304400918 4.984442774060838
2.9544724961891964 3.6274351834145273
2.678077811359122 3.657760592330977
2.6009591533717726 5.200182064746549
3.280947924807568 5.200873060238493
3.765915299871648 3.9021957839770813
3.4321791601164104 3.7260205033153233
4.013880445816698 4.21249314214863
2.771640351073861 3.6625186269213397
3.3904221487150474 3.722323952755352
4.039923411452927 4.343679543204891
3.8465906818660685 3.996868555278872
1.888394576590378 4.533197515515101
2.5528245600255692 3.720569938736091
2.0587701395357643 4.023682526101105
1.9254555413119139 -4.636674696910703
2.592443286352474 5.1408772610258815
2.5009204442569226 3.7435163523906536
3.609254878487242 3.8306868562060603
2.375513904744809 5.060053540953023
2.355239282700529 3.815203843293225
1.9701874288547512 4.216752295955786
1.9272939695132647 4.409755651361511
2.598390752255584 5.10611161268335
2.5035771370044606 5.068718914201855
3.3243018824058606 5.095323077401078
1.947876280054939 4.356477398761731
2.740096525411258 5.122583869502268
2.379943948264712 5.010654143121654
3.0849895255821895 3.6987532095549205
2.0774556471665875 4.0775147683586725
3.6280480127881822 3.8813809587844665
3.114336500594112 5.122133886153209
2.017673724659887 4.678745272740226
3.4384686484266793 3.785937284751296
2.2742510366675477 4.941503512427718
3.111763325681318 5.115269519404774
3.7483046452975004 3.982633895832736
2.6506852001451566 3.7402670943127156
3.5762434686173536 3.8621153307553544
2.3165082543563438 3.882968265668504
2.4347903219582125 3.8187463613884005
2.3221216038487897 4.954525338113822
3.9335613022004354 4.278301472533317
3.1509174452164417 5.100834043332054
3.255116775712107 3.739822567174817
3.5837737082770955 3.871604631655657
3.24316252294733 3.7404644800392646
2.870420197023975 5.102175010775843
1.9985543905082 4.5459446923210205
2.5253303549364743 5.021768511409621
3.3699027282542082 5.031722882720941
3.717121615870021 3.9879399619328493
2.7723863007925704 5.073607266508953
3.919740314514159 4.442903439601663
2.6681989997615956 3.7595000377734995
3.714425279808941 3.9948325208614612
3.5071717788804144 3.8516534334910615
2.7055003088781002 5.052306450360677
2.699349848452523 3.755715243526321
3.5518171542345254 4.935878033086704
2.929380046143749 5.0741552259993625
2.5363400620935885 5.00196229948703
2.1923139457897354 4.797988758775641
3.420935298902327 4.98651387622776
3.6150687279011446 4.888330598952202
3.885513492148088 4.534692357251483
3.213781892028014 3.762986966194855
2.575037486482405 3.800624425164607
3.4664573471954885 4.959848865848061
2.1566952129196935 4.081122272091496
3.8307780530945053 4.1728163141313335
3.2586786276914084 3.774072439525934
3.0864742200402313 5.048768010836983
2.6894490654804137 3.772161918929014
3.347932649068111 4.99586296780253
2.9001046967564412 5.051156454429268
3.725760175954953 4.777412043646955
3.8737842797548745 4.303364701263309
3.0542163196963057 3.7468994459598046
3.3369794067040637 3.802600704991275
2.459948434063528 3.8558644175508077
2.656693891830599 3.7861891410970396
2.3877174089362247 4.905049033645099
2.9582058244621674 3.747716041327357
2.0651300856436405 4.3115398399432685
2.209058881680516 4.763747310838936
2.8274047126765494 5.031437699350418
3.35587169090235 4.976828858659166
2.0783170073592654 4.542817297805016
3.272891823239667 3.793246076812721
2.1194126588426156 4.636050631701571
3.2616143548796885 3.794693196957434
2.5199817227217234 3.846353612359663
3.750345959121095 4.696713676441969
2.084569719788342 4.310971339564369
3.8054438807213087 4.603556160323248
2.26688617830876 4.014667827099205
3.1396682345290734 5.003754652401242
