mu sigma
3.4316430619874123 4.1991382738633956
2.751905116127307 4.173463982584899
1.3374199136654679 6.555430585022368
3.8684380151534707 6.805563030667651
0.9767075766994154 5.31898362200788
2.1582727618271873 4.316588650289615
1.396937995223157 4.732459931974709
4.128677166984375 4.60304020202396
2.0206735255388764 6.789337986039955
4.724914618380555 5.8098343063971525
2.1239721887562157 4.3716148624232485
3.9279373579949217 6.5218254699765925
3.4511163236926596 6.685377426874117
1.7270925128450525 4.668449873242228
2.3048034324332005 6.6569781217074455
2.9833111934938743 6.706819367093328
3.9500618976085464 6.439362285452605
2.0540824834793376 6.559967582366114
2.2334516207388666 6.6036242102511
1.309038992364645 5.932747105595812
2.499723919536501 6.6358675701055905
4.356633396124312 5.990774121478238
3.045790649994751 6.642989477483146
4.078436225111468 6.272961195130313
2.2336881978237324 6.5543120704900035
3.253485147645483 6.603474589275452
1.9990183585830856 4.5832809446922465
2.4271023142172954 4.436851902760156
1.444775843418031 5.970602544355309
1.7172378569429543 6.255927004881418
1.3352783335564433 5.384476740979195
4.16854222276435 6.072900421520967
1.9826994492488625 6.379621990665447
4.346065404759892 5.319357330534695
1.7893910208894899 6.23475548026502
3.9182225903916863 6.242621955823414
3.558316714432302 6.403516095205966
2.764850888632206 6.507830504844737
1.8495171104139536 4.752102996984858
3.370224398178504 6.438587392559743
4.246625287760902 5.76943444498783
2.9195835848974587 6.483293407626847
3.179092743810476 6.458135314257536
3.3123255181943643 6.426628992757322
3.269887328213213 6.421538544752262
3.829080698934705 4.756420692158379
3.8727661453987268 6.162209243159667
4.143535816019595 5.1022531524716666
1.9121358412004497 6.18506843967859
3.2071395213258986 6.408519795725109
2.451787472642501 6.394612205411271
3.922678266773816 4.850940877427013
2.0456580438089675 6.245827527105354
1.707901950080053 5.995922147918779
3.723889071093568 4.730603715079141
1.6404212363129962 5.850506055813607
4.180764860808507 5.613542680867089
1.5737241719398187 5.24631068525369
3.7425967522130197 6.162011959043623
3.2617470475083934 6.34313058645163
3.3842731953310565 4.5902013727203785
3.9161257088539414 4.900369130360284
1.9168811677502968 6.107473020585453
2.217028762414563 6.2643371823307215
4.019030973193572 5.90792007441626
2.133837860341345 6.226566164772964
3.9247385246196433 4.92000019279595
3.6925683520099684 6.16743611144103
1.6251761068283317 5.181436940079413
1.5867080759622665 5.642190003896986
3.9100309024778923 4.915092024666658
4.128738356252303 5.666219988987738
4.072320327552261 5.792170058095344
3.2926804445403137 4.579076701134705
4.112365909120447 5.692338267751178
4.1360556040946825 5.585316898219096
2.568601253980256 6.317115876333351
4.122972213203308 5.516631845956125
2.307586219214506 4.637088771554386
2.6841988800855625 6.318251669688625
1.6348969577318866 5.265164120466985
2.1585547558452283 6.1792493097784575
1.8017409841456122 5.927062009746212
2.992698892838544 6.31295720996463
3.363734199816567 6.245535362465699
2.323662871706111 6.2222551219732125
1.8465751215540256 4.947877131410209
1.7277180388762425 5.786821731326096
3.239890312627401 4.598454308201292
2.0356305128424115 6.085296092902476
3.382899867659312 6.223181725455177
4.018005587028959 5.747881048931008
4.067528709048999 5.614133235554924
3.6218552989822643 6.117493785918954
1.9884347178548594 6.04305142062863
1.876734093395197 5.951614148800402
1.6433146120904736 5.465689106523391
3.560741222738547 6.143416453976812
4.038763740953398 5.227349033231588
3.25985182618594 6.2390508245477285
3.3470529828356144 4.642874075049681
2.726670045285036 4.574232820710482
1.6655704167240097 5.536946328612639
3.9876506156979548 5.141823109476928
4.041817008340515 5.567469152741436
1.6759565859013148 5.455299213442607
3.886229290842035 5.863641148600566
2.645706701310348 6.245710813340705
3.8553142695374145 5.89276499556293
2.9611153328768056 6.253780015714899
2.3651489651655306 6.180580047628136
1.7443256588791123 5.193161151173015
1.8530908387757505 5.851033199418004
2.605846585578636 6.226466999957809
1.7217621249079662 5.612071760819623
2.3091075026897134 4.693509764775038
3.02846038620103 4.598282029690295
3.1993552333249617 6.207233771044589
2.8001610184971373 6.230623750368467
2.3528391099016006 6.150545326870067
3.1002725862364944 6.214187303597706
3.6936623252400564 4.860085656742946
2.6010806375080504 6.206286042800352
1.9553220611837623 5.9190310039971585
2.3352603367532114 4.697136089739554
3.5996493116516053 6.041720405433858
2.9378174209679715 6.221915729314667
3.232838247412067 6.180155933826647
3.8399538882767024 5.010787398945631
1.7793835471403951 5.191066183635133
2.6777880329490396 6.204648935137614
1.76163592151242 5.614052527844072
1.8024698049332684 5.1507488685861915
2.9105200140296827 6.210395969216277
2.4298575346557834 4.67359358932565
1.8493683418677835 5.075093543440607
1.7554776974762616 5.559748896930329
3.3453500232431628 6.131010894776583
3.58894701028482 4.809960290801354
3.9818246924244836 5.35790707735624
1.9482983664814029 5.8808960078476336
3.3822074454771656 6.115943313698827
1.7529419806120656 5.520943332619973
2.0086725697175973 5.923096544678489
3.1444645999763106 6.170814285002511
2.329646898255176 6.100628120968791
3.3526208560281616 6.116505048785558
3.2588373966632505 6.144053274729727
3.4031142498308538 4.724315655273386
1.8386029608139842 5.124091194670722
3.9301476374352404 5.213292742806459
2.6158240968453095 6.171269109782157
2.926068437727614 6.188833064436695
3.0543215214834154 6.177599044537637
2.138186619090969 6.001200332201164
3.8266843906564003 5.798567631502342
3.8507224021396165 5.761862300224418
