mu sigma
2.0635787017931557 4.338347106667251
2.539516117945243 4.667996233288854
3.1622581997912316 4.816498506552666
3.3408551599610488 2.9630170072129003
3.0460068091578947 4.563380010055568
2.423117107173274 4.191460694286936
2.4670017265022435 3.4153998852628793
2.353463123051407 3.991298270297242
4.511104729785412 3.9325302576319623
2.4009908205996573 3.5502623309441654
3.009432851814024 4.495020734166154
2.393491938944284 3.6229244416675845
2.842097410916646 4.4295643130587905
2.744901400512006 4.380851094891178
3.4343676529372624 4.54493834768127
2.4305141623230275 4.0700078425614015
2.6143338874650315 4.287869422766782
2.419564150179964 3.5858063711216457
3.5684946809839753 4.53270428206178
2.583568724378445 4.251008629625161
4.093511007572484 4.363161326534282
2.40876086119148 3.95408996852746
2.393073207554353 3.751084163074219
2.4212306821276464 3.6665551797690954
3.0623435143939735 3.105697019599069
2.938055968451311 4.4218576375369345
3.161077758274529 4.480584747735958
2.830235796219653 4.363348011405913
4.376499837191527 4.032047760612983
2.7591149555653596 3.25744680192732
2.5507110414795955 4.128793408288596
4.306095379344996 4.11723354141292
2.484966717530376 3.9961517278508567
2.546736549001715 4.085143156497608
3.9854013327815925 4.3424535540442255
3.0959449807631345 4.421211009528024
3.074409892461522 4.401173154370057
3.251752203069465 4.430793424245109
3.987538556869552 4.302246960150917
2.7055246246399784 3.353386025539225
3.646534255465076 4.407376943333637
2.660401945200976 3.3978908796824925
2.6189970277001864 4.1039121069980435
3.9699201291473885 3.2355844780027323
2.5439478442444945 3.9739404111707897
2.506206846410018 3.7208131816889547
2.742342619926342 3.337629010377628
2.5144854524083113 3.741695233910158
2.5913097886376986 4.033805625219451
4.3079574688464675 3.612733009524669
4.330857944565806 3.847921617325775
3.4162922226112897 3.1136537987475665
3.187209223167328 3.138102762021936
2.93487901279459 4.299292652612367
2.550531739997006 3.6220863765367035
4.290517606233039 3.59851843760024
3.4963626520297058 3.1203527029905103
4.102369258592518 4.179154144647927
3.791762575114775 3.1792578489022616
3.6035528355356203 4.370021724826711
2.617654097341051 4.015330439014063
3.015180814472759 4.307030204902431
2.873412415874253 3.2742221210076816
4.2447863623420545 3.544356468639902
3.976058272179509 3.280477394213045
2.6386747470926757 4.018443703131557
2.5632902374209685 3.7753252505341814
3.051512694082378 4.298803927581751
3.106180817289677 4.313355284764374
4.0609799697018705 4.1535763452998795
4.273185443591695 3.764651640473055
3.2905392410126515 3.1530609124691322
2.8754028187066485 3.2983303503160633
2.6503881515995174 3.9900062599395487
4.2101629460655605 3.9742432423164327
2.9550980381168857 3.2556737128113067
2.5890598744206437 3.717100290245988
3.944493896580876 4.217777233888373
2.996755166261259 3.240217897439898
3.4820603753551587 3.1533961446082577
2.992397158424153 3.2438615044412873
2.6074011415357323 3.8534915556739393
4.242249944138142 3.85963570947068
2.616743111238763 3.876597963319413
3.401977859873027 4.32598289726606
4.175493954738137 3.995898660361402
2.623907325228993 3.883373467455527
2.7564377396277315 3.415308044301014
3.617043316849564 4.305485772468612
3.382855653095463 4.319544022155388
2.966864531297276 4.223180409125043
2.7313276116618717 4.052869753068872
2.613218885451627 3.7242964273930097
3.86158142053017 3.256636735101459
4.09846125396627 4.0728977490219105
2.891740103625379 4.17755697987337
2.6327311597076637 3.633532918433051
4.185104595185036 3.5554908509854384
4.233343140092867 3.769908903046012
2.6420994222253142 3.88519594912767
2.666116369423135 3.563236352433807
2.6651536068726775 3.931166990944721
2.6731056016967623 3.5548194481617856
3.1469422689441027 4.270840907070924
3.9069639177609212 3.2892321554222264
2.640345273105013 3.844910849271781
3.3875657131113863 4.300099192523705
2.8696691113503654 4.145200044558483
2.816183469712674 3.3848929112483397
4.199391309000562 3.869792573457717
2.640699429341155 3.808743114339402
2.8361872534728505 3.3722510816914135
4.051188182782447 4.084343565539017
2.7277986693600624 3.4870224568560335
3.3798856147218324 3.177119964404782
3.0202411107382527 4.216007345004324
2.8692393072728 4.132518236751443
3.862968634066728 4.200226030848724
3.085785275778346 4.2356792508039485
3.6560477921207455 4.264402004167108
3.5331867456293486 4.282127468474291
3.029738290832643 4.211696204632296
2.9157666301177816 4.155124273226965
3.3248975345388305 4.280125252745363
3.650701979376173 4.261600801619488
3.8407298225267033 3.270918538034027
2.6947261803326223 3.928297875785963
2.753632692026624 3.4757746699003205
2.8066063382934088 3.417238831246192
2.6927622964847258 3.580525524255239
3.4542383339975093 3.186870800978055
3.2260197131029553 4.2553528980055235
3.739735329522072 3.2383891606304696
4.188868389423431 3.7069418472577373
4.01223914981435 4.085450763490176
2.860973898473754 3.374399849573405
2.9844173648786065 4.174930298038599
3.1439784796630743 4.233290534839643
4.183982088809363 3.7999640313828222
4.160523119798733 3.6084561414619487
3.5808878149313212 3.204389664778742
4.174333489047015 3.79269901906774
3.0843012166390316 4.204671391762199
2.7395781423751218 3.9538838624907036
3.5296087384604875 4.255431261475322
3.1252451270956625 4.217251236136982
2.677544136526227 3.7740490309877184
