mu sigma
2.989594973724052 3.892866326957061
3.0073502421551317 3.901385195622871
2.7776618994996665 3.9917480431423735
3.050464159176954 4.0451576562749505
2.8068279296916776 3.9394649545989653
3.053151995109214 3.9510871224672703
2.797883383169954 4.022800085064876
2.8710565077419687 4.077769155509116
2.899885003431897 4.082772708116666
2.9950309494164937 3.9094076837507776
2.8147923825713868 4.040452648056497
3.053022595561906 4.0182108217799755
2.7963391298773304 3.9875869523575442
2.810566468908615 4.031647954362694
2.95871895608967 4.077578981972691
3.0145893218298725 3.9249140032496195
2.937452894358307 4.079279669696847
2.89364917808428 4.0762271621129225
2.986247812252541 4.068511493560333
2.8169253830701817 3.9463208186453396
3.0236456517264765 4.046700391510105
2.98368978333792 3.9107637195336125
3.0380763662230033 3.9492544578704782
2.8911190150551924 3.9053432399436425
2.8366814347928355 3.9300094786979725
3.0233150847002337 4.0432246674946075
2.8970306136479422 4.073225323407559
2.8675436308546205 4.0638509263323765
2.9635336313882252 3.909206164339924
2.83598615959596 4.044722054258889
3.0458353780500156 3.988326563770274
2.845748931865878 3.9294279389244195
2.9374892888646285 3.9070980253148293
2.8111034484110284 4.000284008306817
2.8425723617284193 3.9330321193498445
2.8364441633432507 3.93819860475533
2.97664496939807 3.916301764771632
2.8614523550492654 3.922867803488331
3.0083062551037 4.04650702031265
2.865958503942368 4.057522514026763
2.988865179548804 4.0562204720410735
2.873540749102577 4.0599099452127785
2.848344651512054 4.046750505307766
2.816200648348109 4.002375868767975
2.9155832295849198 4.067929472586918
3.0345080583122677 4.0094553016141
2.8311148512030195 3.9492597032218972
2.9654850286128287 4.063311797636558
3.0319611598048897 4.014349566741714
3.0072344573765335 3.935966779267728
2.821176436782381 4.013467041483069
2.9893054230791987 4.053842152632892
3.035028383397686 3.97621687370931
2.945144315271092 4.065502668027883
2.852470136514878 3.933618123345444
3.0249309333714676 3.9577629428619376
2.86276064744825 4.0509087854148715
2.9098031082318747 4.064713724071705
2.8188935292107153 3.987997338527856
3.030340491323959 3.970009967429343
2.9986465234481714 4.045803081800119
2.921663148123982 4.065199705770066
2.982736581437521 4.054133183314568
2.974040410291387 3.9215320073898
2.8234217138668996 3.9697733805409143
2.880334668721062 4.0573866764868205
2.998984341019888 3.9342094596392236
2.962435689237087 3.918483193096326
2.8920571043243566 3.9186561857155926
2.8482569019213075 3.939531165956947
2.8555737975760613 4.044629448002635
2.960737783822432 3.9189694576161163
3.014143375603771 4.030457578360753
3.0105153151719337 3.9450548351331816
3.022670804356152 3.960294589727301
3.005403718085721 3.941210488650692
2.838173869198822 4.028172987654359
2.9042599341727127 3.9175842448754343
2.9222567634365886 4.062766628058398
2.9791680665147755 4.052344255173327
2.9973118339408806 4.0426635692238015
2.9595075961665858 4.058317542926714
3.027434501628975 4.003623834051246
2.8257483835182535 4.002737237399876
2.988992922697366 3.9317877304158886
2.9261979777374965 3.916958854700651
2.9246878358588555 4.061651834702965
2.8405839932036043 3.950349465041773
3.0281198454144467 3.9806836787783184
3.0102778895848155 4.031019973133635
3.0052931969676524 4.0353814489241895
2.834934190543023 3.9579100803505334
2.9617293689048445 3.92161946100141
3.016634627709156 4.022963094899731
2.964763358378436 4.0559526920850475
3.013473597947138 3.95214605366374
2.9724200484531544 3.925220568391124
2.8645735595076847 4.046228883312787
3.027949364121425 3.984708740611688
2.9972290384857647 3.93808191000718
2.9170246796657526 4.060453752364629
2.828546359883836 4.005350691252954
2.9034207599470534 4.05847691323912
2.9833433447586533 3.9307806549564814
2.9725115055726112 3.9262098984655385
2.853809107796974 4.037854184378799
2.9826391995259867 4.0478455770205635
2.85083966328027 3.943363686016218
3.0252911677524392 3.9786123574550354
2.99500063696241 3.9379641426526026
